TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2021-09-21 10:30:00,214409,4945,123965,51.134,16.8842
04,kujawsko-pomorskie,2021-09-21 10:30:00,181335,4804,89726,53.1648,18.4834
06,lubelskie,2021-09-21 10:30:00,128783,4506,60067,51.2494,23.1011
08,lubuskie,2021-09-21 10:30:00,74357,2061,42518,52.2275,15.2559
10,łódzkie,2021-09-21 10:30:00,181320,5157,93658,51.4635,19.1727
12,małopolskie,2021-09-21 10:30:00,224595,5887,114297,49.7225,20.2503
14,mazowieckie,2021-09-21 10:30:00,399305,9480,237862,51.8927,21.0022
16,opolskie,2021-09-21 10:30:00,70358,2057,32655,50.8004,17.938
18,podkarpackie,2021-09-21 10:30:00,127769,4477,65697,50.0575,22.0896
20,podlaskie,2021-09-21 10:30:00,70848,2156,34656,53.0697,22.9675
22,pomorskie,2021-09-21 10:30:00,193424,4502,105647,54.2944,18.1531
24,śląskie,2021-09-21 10:30:00,363948,9445,205082,50.5717,19.322
26,świętokrzyskie,2021-09-21 10:30:00,73430,2591,37769,50.6261,20.9406
28,warmińsko-mazurskie,2021-09-21 10:30:00,122495,3022,64209,53.8671,20.7028
30,wielkopolskie,2021-09-21 10:30:00,286821,7392,148800,52.28,17.3523
32,zachodniopomorskie,2021-09-21 10:30:00,130960,2945,63188,53.4658,15.1823
,nieokreślono,2021-09-21 10:30:00,54851,76,1140156,52.0693,19.4803
