wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
podlaskie;siemiatycki;6;1.37;2;0;2;6;2;68;58;7;50;1;t2010;2022-01-11
podlaskie;sokólski;7;1.06;2;0;2;16;3;134;87;9;77;1;t2011;2022-01-11
podlaskie;suwalski;1;0.28;0;0;0;7;5;80;49;2;45;2;t2012;2022-01-11
podlaskie;wysokomazowiecki;3;0.53;0;0;0;8;3;99;70;3;67;0;t2013;2022-01-11
podlaskie;zambrowski;15;3.46;1;0;1;27;0;105;68;16;52;0;t2014;2022-01-11
podlaskie;Bia³ystok;114;3.83;3;0;3;198;53;1196;712;130;578;4;t2061;2022-01-11
podlaskie;£om¿a;10;1.59;1;0;1;38;5;187;83;13;70;0;t2062;2022-01-11
podlaskie;Suwa³ki;4;0.57;0;0;0;21;7;170;115;6;108;1;t2063;2022-01-11
pomorskie;bytowski;26;3.29;0;0;0;45;11;307;134;29;103;2;t2201;2022-01-11
pomorskie;chojnicki;40;4.10;3;0;3;51;11;456;166;43;121;2;t2202;2022-01-11
pomorskie;cz³uchowski;12;2.15;5;2;3;13;4;188;80;12;63;5;t2203;2022-01-11
pomorskie;gdañski;54;4.52;1;0;1;91;53;761;310;63;240;7;t2204;2022-01-11
pomorskie;kartuski;48;3.41;1;1;0;99;24;865;325;53;264;8;t2205;2022-01-11
pomorskie;koœcierski;24;3.30;1;1;0;32;3;235;166;28;137;1;t2206;2022-01-11
pomorskie;kwidzyñski;45;5.42;3;0;3;53;18;434;278;53;215;10;t2207;2022-01-11
pomorskie;lêborski;15;2.27;2;0;2;34;11;229;135;18;117;0;t2208;2022-01-11
pomorskie;malborski;19;3.00;0;0;0;27;7;188;198;21;175;2;t2209;2022-01-11
pomorskie;nowodworski;13;3.66;0;0;0;21;6;173;76;16;60;0;t2210;2022-01-11
pomorskie;pucki;31;3.56;1;0;1;53;22;515;173;41;130;2;t2211;2022-01-11
pomorskie;s³upski;23;2.33;1;0;1;28;13;338;161;24;134;3;t2212;2022-01-11
pomorskie;starogardzki;48;3.74;2;0;2;61;40;643;256;52;193;11;t2213;2022-01-11
pomorskie;tczewski;68;5.88;5;1;4;93;18;511;345;82;244;19;t2214;2022-01-11
pomorskie;wejherowski;51;2.33;2;0;2;183;37;954;572;68;496;8;t2215;2022-01-11
pomorskie;sztumski;3;0.73;0;0;0;23;3;150;236;8;225;3;t2216;2022-01-11
pomorskie;Gdañsk;335;7.10;1;0;1;420;195;3315;1624;390;1198;36;t2261;2022-01-11
pomorskie;Gdynia;151;6.14;2;1;1;211;71;1383;749;176;559;14;t2262;2022-01-11
pomorskie;S³upsk;16;1.77;3;0;3;47;21;410;179;22;155;2;t2263;2022-01-11
pomorskie;Sopot;18;5.06;0;0;0;29;9;188;125;21;102;2;t2264;2022-01-11
œl¹skie;bêdziñski;41;2.77;1;0;1;125;25;638;312;49;260;3;t2401;2022-01-11
œl¹skie;bielski;84;5.05;0;0;0;166;28;1158;621;104;508;9;t2402;2022-01-11
œl¹skie;cieszyñski;65;3.65;4;0;4;109;26;688;456;78;371;7;t2403;2022-01-11
œl¹skie;czêstochowski;49;3.65;9;2;7;45;21;466;255;62;188;5;t2404;2022-01-11
œl¹skie;gliwicki;60;5.19;1;1;0;59;24;533;335;70;262;3;t2405;2022-01-11
œl¹skie;k³obucki;10;1.18;2;0;2;33;19;317;139;12;125;2;t2406;2022-01-11
