wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;36995;9.65;252;63;189;80209;16406;946658;141880;43488;96164;2228;t0000;2022-01-24
dolnoœl¹skie;boles³awiecki;175;19.44;3;0;3;245;27;2993;530;216;294;20;t0201;2022-01-24
dolnoœl¹skie;dzier¿oniowski;52;5.17;1;0;1;177;37;2460;221;61;157;3;t0202;2022-01-24
dolnoœl¹skie;g³ogowski;72;8.10;1;0;1;184;30;2704;227;78;148;1;t0203;2022-01-24
dolnoœl¹skie;górowski;22;6.34;1;1;0;60;1;518;106;26;80;0;t0204;2022-01-24
dolnoœl¹skie;jaworski;67;13.42;1;1;0;94;13;986;164;80;70;14;t0205;2022-01-24
dolnoœl¹skie;jeleniogórski;58;9.15;0;0;0;116;20;1476;193;73;115;5;t0206;2022-01-24
dolnoœl¹skie;kamiennogórski;20;4.65;0;0;0;66;15;1049;131;32;99;0;t0207;2022-01-24
dolnoœl¹skie;k³odzki;88;5.60;1;0;1;464;86;4341;356;108;245;3;t0208;2022-01-24
dolnoœl¹skie;legnicki;42;7.61;1;1;0;79;13;1429;169;49;116;4;t0209;2022-01-24
dolnoœl¹skie;lubañski;46;8.51;0;0;0;185;15;1445;143;57;76;10;t0210;2022-01-24
dolnoœl¹skie;lubiñski;75;7.07;1;0;1;235;37;3204;310;89;206;15;t0211;2022-01-24
dolnoœl¹skie;lwówecki;40;8.74;0;0;0;109;6;694;166;48;110;8;t0212;2022-01-24
dolnoœl¹skie;milicki;75;20.32;0;0;0;182;18;2261;124;89;34;1;t0213;2022-01-24
dolnoœl¹skie;oleœnicki;123;11.46;0;0;0;225;36;4369;364;145;213;6;t0214;2022-01-24
dolnoœl¹skie;o³awski;45;5.86;0;0;0;161;19;2561;186;53;132;1;t0215;2022-01-24
dolnoœl¹skie;polkowicki;54;8.56;0;0;0;127;24;2083;199;66;133;0;t0216;2022-01-24
dolnoœl¹skie;strzeliñski;63;14.50;0;0;0;189;16;2177;208;73;135;0;t0217;2022-01-24
dolnoœl¹skie;œredzki;62;11.20;0;0;0;186;21;2330;182;65;115;2;t0218;2022-01-24
dolnoœl¹skie;œwidnicki;157;10.03;0;0;0;273;91;6187;608;189;411;8;t0219;2022-01-24
dolnoœl¹skie;trzebnicki;71;8.31;0;0;0;137;23;2241;209;77;129;3;t0220;2022-01-24
dolnoœl¹skie;wa³brzyski;59;10.65;0;0;0;178;17;1855;264;83;179;2;t0221;2022-01-24
dolnoœl¹skie;wo³owski;45;9.63;0;0;0;67;19;1725;150;59;86;5;t0222;2022-01-24
dolnoœl¹skie;wroc³awski;332;21.58;0;0;0;523;145;7050;961;383;555;23;t0223;2022-01-24
dolnoœl¹skie;z¹bkowicki;38;5.89;2;0;2;140;21;1537;141;42;98;1;t0224;2022-01-24
dolnoœl¹skie;zgorzelecki;78;8.79;0;0;0;152;16;2303;187;91;92;4;t0225;2022-01-24
dolnoœl¹skie;z³otoryjski;30;6.93;0;0;0;80;6;889;98;37;59;2;t0226;2022-01-24
dolnoœl¹skie;Jelenia Góra;88;11.17;0;0;0;175;34;2420;294;109;181;4;t0261;2022-01-24
dolnoœl¹skie;Legnica;80;8.07;0;0;0;203;15;2453;315;90;216;9;t0262;2022-01-24
dolnoœl¹skie;Wroc³aw;898;13.95;3;3;0;1299;570;17072;2867;1072;1747;48;t0264;2022-01-24
dolnoœl¹skie;Wa³brzych;110;9.95;0;0;0;233;61;2990;460;131;328;1;t0265;2022-01-24
kujawsko-pomorskie;aleksandrowski;29;5.27;0;0;0;92;5;347;137;33;102;2;t0401;2022-01-24
kujawsko-pomorskie;brodnicki;34;4.30;0;0;0;113;16;557;191;42;147;2;t0402;2022-01-24
kujawsko-pomorskie;bydgoski;91;7.62;1;0;1;277;49;1661;393;106;284;3;t0403;2022-01-24
kujawsko-pomorskie;che³miñski;49;9.46;0;0;0;88;5;420;146;56;90;0;t0404;2022-01-24
kujawsko-pomorskie;golubsko-dobrzyñski;13;2.89;2;0;2;106;4;284;98;17;80;1;t0405;2022-01-24
kujawsko-pomorskie;grudzi¹dzki;23;5.72;1;0;1;48;9;425;182;27;154;1;t0406;2022-01-24
kujawsko-pomorskie;inowroc³awski;70;4.39;1;0;1;269;36;1236;354;85;263;6;t0407;2022-01-24
kujawsko-pomorskie;lipnowski;14;2.13;0;0;0;78;14;359;144;16;128;0;t0408;2022-01-24
kujawsko-pomorskie;mogileñski;15;3.30;2;0;2;40;14;294;97;23;74;0;t0409;2022-01-24
kujawsko-pomorskie;nakielski;58;6.73;2;0;2;134;17;543;216;69;146;1;t0410;2022-01-24
kujawsko-pomorskie;radziejowski;25;6.22;0;0;0;60;12;377;109;30;76;3;t0411;2022-01-24
kujawsko-pomorskie;rypiñski;6;1.38;1;0;1;84;10;407;95;6;89;0;t0412;2022-01-24
kujawsko-pomorskie;sêpoleñski;1;0.24;0;0;0;50;3;232;47;1;46;0;t0413;2022-01-24
kujawsko-pomorskie;œwiecki;38;3.84;0;0;0;138;10;869;299;47;249;3;t0414;2022-01-24
kujawsko-pomorskie;toruñski;99;9.09;2;1;1;211;31;1274;413;119;293;1;t0415;2022-01-24
kujawsko-pomorskie;tucholski;16;3.31;0;0;0;78;5;380;93;17;76;0;t0416;2022-01-24
kujawsko-pomorskie;w¹brzeski;18;5.28;0;0;0;57;3;212;108;21;87;0;t0417;2022-01-24
kujawsko-pomorskie;w³oc³awski;42;4.89;0;0;0;123;24;859;160;47;111;2;t0418;2022-01-24
kujawsko-pomorskie;¿niñski;51;7.28;2;0;2;103;21;353;205;57;145;3;t0419;2022-01-24
kujawsko-pomorskie;Bydgoszcz;226;6.52;2;0;2;541;86;3048;956;285;659;12;t0461;2022-01-24
kujawsko-pomorskie;Grudzi¹dz;44;4.68;1;1;0;162;19;941;295;60;225;10;t0462;2022-01-24
kujawsko-pomorskie;Toruñ;157;7.81;1;0;1;295;62;2082;710;186;521;3;t0463;2022-01-24
kujawsko-pomorskie;W³oc³awek;28;2.56;2;0;2;150;27;632;207;34;171;2;t0464;2022-01-24
lubelskie;bialski;76;6.88;1;1;0;210;17;1753;344;87;249;8;t0601;2022-01-24
lubelskie;bi³gorajski;18;1.79;0;0;0;212;14;1959;183;20;162;1;t0602;2022-01-24
lubelskie;che³mski;57;7.33;0;0;0;170;17;1679;221;60;159;2;t0603;2022-01-24
lubelskie;hrubieszowski;53;8.48;0;0;0;137;11;1217;206;65;140;1;t0604;2022-01-24
